Hydropower Station Name,Database Status,ID,Country,ISO,Reservoir Name,Lake Name,Purpose,Admin_unit,Owner ,Near_city,District ,River,Main_basin,Catch_Area ,Op_Status,Comissioned,DamComplete,No_Units,Dam_hgt ,WaterHeadhgt( max),WaterHeadHgt (min),Res_capacityMm3,Res_area km2,HPP_elec_cap,Transm_exist,Transm_length,Transm_planned,Hydropower_Type,Ann_firm_gen,Ann_tot_gen,Lat (reservoir/dam),Long (reservoir/dam),Lat (hydropower station 1),Long (hydropower station 1),Lat (hydropower station 2),Long (hydropower station 2),Display,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6,Reference 7,Reference 8,Reference 9,Reference 10,Comment,Column1
Dehar,Matched with hydro station,57,India,IND,,Pandoh Lake,"Irrigation, Hydropower",Himachal Pradesh,Bhakra Beas Management Board (BBMB),Mandi,,Beas,,,Operational ,Operational since 1977,1977,6,76,,,41,19771.75,990,220/132,,,Run-of-River,,3110,31.6709,77.0667,31.413303,76.86846,,,"Matched Dams, Stations and Reservoirs",http://globalenergyobservatory.org/geoid/4693,https://www.mapsofindia.com/maps//pandoh-dam.html,https://wikivisually.com/wiki/Pandoh_Dam,http://bbmb.gov.in/dehar.htm,,,,,,,"Pandoh Dam is a part of the run-of river scheme, it diverts the waters of the Beas to the southwst through 38km (24 mi) long system tunnels and channels; the water is used for power generation at the Dehar Power House before discharging at the Dehar Power House. There is one river diversion tunnel. The tunnel length is 644.15 Mm3.",
Pong,Matched with hydro station,48,India,IND,Maharana Pratap Sagar/Pong ,,"Irrigation, Hydropower",Himachal Pradesh,Bhakra Beas Management Board (BBMB),Mukenan,Kangra ,Beas,Indus up to International Border,"12,560",Operational ,Operational since 1978,1978,6,132.59,95.1,47.85,8570,260,396,220,,,Storage,,1123,31.96667,75.9469,31.967104,75.942551,,,"Matched Dams, Stations and Reservoirs",https://hpkangra.nic.in/tourist-place/pong-dam/,,https://www.slideshare.net/vikash7756/pong-dam-ppt,,,,,,,,"The Pong Dam, is also known as Beas Dam. ",
Baira Siul,Matched with hydro station,66,India,IND,,"Baira, Siul and Bhaledh tributaries of Ravi River (tunnel crosses Siul and ends at river Bhaledh)","Irrigation, Hydropower",Himachal Pradesh,National Hydroelectric Power Corporation (NHPC),Chamba,Chamba ,Baira,,,Operational ,Operational since 1981,1981,3,53,284,260,3750,152,180,220,96.82,,Run-of-River,,779.28,32.807168,76.141247,32.742736,76.110106,,,"Matched Dams, Stations and Reservoirs",http://www.nhpcindia.com/Default.aspx?id=122&lg=eng&,http://nhpcindia.com/OperatingPS.htm,http://globalenergyobservatory.org/geoid/2224,http://cea.nic.in/reports/committee/scm/nr/agenda_note/30th.pdf,,,,,,,The annual desinged energy from the project is 779.28MU's in a 90% dependable year  95% availablity of installed capacity.  The installed capacity is to be upgraded to 198 MW [ 3x66 ],
Chamera I,Matched with hydro station,176,India,IND,Chamera ,Chambera ,Hydropower,Himachal Pradesh,National Hydroelectric Power Corporation (NHPC),Dalhousie,Chamba ,Ravi,,472.5,Operational ,Operational since 1994,1994,3,226,,,391.3,9.5,540,400,,,Storage,,1664.56,32.59661,75.9857,,,,,"Matched Dams, Stations and Reservoirs","http://bt.geoview.info/chamera_dam_reservoir_panorama_chamba_himachal_pradesh_india,70160059p",https://www.mapsofindia.com/maps//chamera-dam.html,http://www.cea.nic.in/reports/others/hydro/hpi/hydro_performance_data.pdf,,,,,,,,"Three power stations: Chamera I, II, III are owned by NHPC Limied. The dam and resevoir information are taken from the 'Chamera Dam Reservoir', the height represents this reservoir. However, the Hydropower information is from Chamera I. Although power station has its own dam, they are not mentioned here.",http://www.nhpcindia.com/Default.aspx?id=186&lg=eng&CatId=1&ProjectId=11
Koldam,Matched with hydro station,181,India,IND,Koldam Dam,,Hydropower,Himachal Pradesh,National Thermal Power Corporation (NTPC),Bilaspur,Barmana,Sutlej,,,Operational ,Operational since 2015,2015,4,167,,,580,13.02,800,400,458,400,Storage,,3054.79,31.383056,76.871111,31.382,76.8761,,,"Matched Dams, Stations and Reservoirs",https://www.ntpc.co.in/power-generation/hydro-based-power-projects/koldam,http://www.itd-koldam.com/intro.php,https://www.hydroworld.com/articles/2015/06/800-mw-koldam-hydropower-plant-begins-operating-in-india.html,http://globalenergyobservatory.org/geoid/45706,http://www.cea.nic.in/reports/annual/generationreview/gen_target-2018.pdf,https://assets.publishing.service.gov.uk/media/57a089a840f0b652dd000344/EoD_Consultancy_Report_30Oct2014_Harnessing_Hydropower_India_Case_Study.pdf,https://ejatlas.org/conflict/koldam-dam-hydropower-project-hp-india,,,,"The Koldam Hydropower project, known as KolDam, is upstream of the Dehar Power house The Net generation of the KolDam by CEA 2015-2016 is 1774 MkWh. Should there be any extra collection of total annual generation? Transmission line distance: Kol has the joint section of 3 parts -  Koldam - Ludhinana (JV Portion) =301 cKm, Parbati -II- Koldam line -II = 76 cKm, Parbati- II - Koldam line-I =81 cKm.",
Bhakra (Left Bank & Right Bank),Matched with hydro station,33,India,IND,Gobind Sagar ,,"Irrigation, Hydropower",Himachal Pradesh ,Bhakra Beas Management Board (BBMB),Nangal (Punjab),Bilaspur ,Sutlej,Indus up to International Border,56980,Operational ,Operational since 1963,1963,5+5,167.64,513.59,445.62,9867.84,168350,1325,220/132,3680,,Storage,,3924,31.410916,76.433237,31.410757,76.423332,,,"Matched Dams, Stations and Reservoirs",https://www.mapsofindia.com/maps//bhakra-nangal-dam.html,https://ejatlas.org/conflict/bhakra-nangal-project-india,http://globalenergyobservatory.org/geoid/2330,http://globalenergyobservatory.org/geoid/2330,http://bbmb.gov.in/index.htm,https://ejatlas.org/conflict/bhakra-nangal-project-india,https://www.epw.in/system/files/pdf/1954_6/32-33-34/phased_power_production_in_bhakra_nangal.pdf,,,,"One power houses have been built at Ganguwal about 19km downstream from Nangal. Another power house has been constructed at a distance of 29 km from the Nangal dam. This is known as the Kotla power house. The Ganguwal and the Kotla power houses have 2 units of 24 MW each and one unit of 29MW.  The Third power house is at Rupnagar. Two power houses have been constructed at Bhakra dam, one of which is on the lefft and the other is on the right bank of the river. The Bhakra Right Bank Power House capacity [ 5x 132 MW] and Bhakra Left Bank Power House [ 5 x 108 MW]. Left Bank has Unit No 1,2&3: 66KV system and Unit No.4.&5: 220 KV System.",
Baglihar I & II,Matched with hydro station,180,India,IND,,Baglihar Dam Lake ,Hydropower,Jammu & Kashmir,Jammu & Kashmir State Power Devlelopment Corporation Limited.,,Doda ,Chenab,Indus River ,,Operational ,Operational since 2009,2008,3+3,144.5,,,480,8.079,900,400,8,,Run-of-River,,2600,33.161777,75.328022,33.18151,75.31546,33.162676,75.328188,"Matched Dams, Stations and Reservoirs",https://www.wikiwand.com/en/Baglihar_Dam,http://globalenergyobservatory.org/geoid/41433,https://www.waterpowermagazine.com/news/newsthe-baglihar-dispute,https://www.waterpowermagazine.com/news/newsthe-baglihar-dispute,http://cea.nic.in/reports/monthly/transmission/2019/ats-06.pdf,http://www.jkspdc.nic.in/beta/baghlihar_power_project.html,,,,,The power station for the Baglihar dam has two unit. The commission date for the first unit is in2008 and the last one is in 2015. The reservoir capacity is taken as the Live Storage capacity = 15 Mm3. The Annual Total power generation for Baglihar HPS is taken from the 2019-2020 targets. THe Baglihar II HPS generation by 2019-2020 is 1300 GWh. Transmission lengt: LILO of one ckt. of Kishanpur-Nww wanpoh at Baglihar HEP is 8 km by monthly transmission. The lione is ready for commission by 05/19.,
Dulhasti,Matched with hydro station,105,India,IND,,,Hydropower,Jammu & Kashmir,National Hydroelectric Power Corporation (NHPC),Kistwar,Kichtwar,Chenab,Chenab,,Operational ,Operational since 2007,2007,3,65,,,10.66,,390,400,115,400,Run-of-River,,1907,33.368525,75.798794,,,,,"Matched Dams, Stations and Reservoirs",https://swapdial.com/public/knowledge-contents/industrial-data/dulhasti-hydroelectric-project/,http://www.cea.nic.in/reports/annual/generationreview/gen_target-2018.pdf,https://swapdial.com/public/knowledge-contents/industrial-data/dulhasti-hydroelectric-project/,http://www.nhpcindia.com/projectdetail.htm?CatId=1&ProjectId=21,,,,,,,The total annual generation is taken from 2018-2019 CEA report.The reservoir area and the catchment area can't be found.,
SALAL (Rockfill Dam),"Part of cascade system, not directly linked to hydro station",166,India,IND,,,Hydropower,Jammu & Kashmir,National Hydroelectric power corporation (NHPC),Reasi,Udampur,Chenab,,,Operational ,Operational since 1987,1987,3,118,,,10,0.09356,345,220,446,,Run-of-River,,,33.14282,74.810922,,,,,"Excluded as part of cascade complex, not linked to power house",http://globalenergyobservatory.org/geoid/5220,https://www.revolvy.com/page/Salal-Hydroelectric-Power-Station?cr=1,,,,,,,,,"Part of Salal project. Transmission lines [ Double circuit Salal - Kishenpur: 2 lines, Single Circuit Salal - Jammu: 2 lines ]",
Salal I&II,Matched with hydro station,165,India,IND,,Salal Lake ,Hydropower,Jammu & Kashmir,National Hydroelectric Power Corporation (NHPC),Reasi,Reasi,Chenab,Chenab,,Operational ,Operational since 1987,1987,6,113,,,280.86,93.56,690,220,,,Run-of-River,,3380,33.1425,74.810278,33.140106,74.809645,,,"Matched Dams, Stations and Reservoirs",http://www.nhpcindia.com/projectdetail.htm?CatId=1&ProjectId=9,http://www.cea.nic.in/reports/annual/generationreview/gen_target-2018.pdf,http://globalenergyobservatory.org/geoid/5219,https://www.wikiwand.com/en/Salal_Hydroelectric_Power_Station,,,,,,,"Salal power station is run-of-the-river scheme  an installed capacity of 690 MW (Stage-I of 3 x115 MW & Stage-II 3 X 115 MW).Units I, II & III of stage-I were commissioned in the month of November 1987 and Unit IV, V & VI of Stage-II in the month of June 1993, March 1994 & February 1995 respectively. The project comprises of a 118 m high & 630 m long rock fill dam and 113 m high & 486.75 m long concrete dam  6 penstocks of 265 m length and 5.23 m diameter each. The total power generation is taken from the 2018-2019 CEA report. Height 118 meters rockfill dam, 113 meters high concrete dam.  Length 630 meters rockfill dam, 450 meters concrete dam.",
Uri I & II,Matched with hydro station,178,India,IND,,,Hydropower,Jammu & Kashmir,National Hydroelectric power corporation (NHPC),Uri Tehsil,Baramulla,Jhelum,,,Operational ,Operational since 1997,1997,4,20,,,6.343,0.413,480,400,13.64,,Run-of-River,,2587.38,34.14418,74.18574,34.14418,74.18574,34.140827,74.181031,"Matched Dams, Stations and Reservoirs",http://www.nhpcindia.com/Default.aspx?id=186&lg=eng&CatId=1&ProjectId=27,http://www.cea.nic.in/reports/annual/generationreview/gen_target-2018.pdf,http://globalenergyobservatory.org/geoid/5882,http://cea.nic.in/reports/monthly/transmission/2019/competitive-05.pdf,,,,,,,"Units I & II were commissioned in the month of April 1997, January 1997 and  Unit III & IV in the month of March 1997. The Uri II located just downstream of Uri I. Therefore, the Uri in the database represnts Uri I information. The Uri I project comprises of a 20 m high & 93.50 m long barrage, open channel. The type of power house is under ground. Total power generation is taken from CEA annual generation reveiw [2018-2019]. The name of the trasmission line is called Uri-Wagoora. They have 2 lines of 400 kV D/C at Amargarh. The lines comissioned in March 2018",
Maithon,Matched with hydro station,14,India,IND,,Maithon Lake,"Irrigation, Hydropower",Jharkhand,Damodar Valley Corporation ,Asonsol,Dhanbad ,Barakar,Damodar,,Operational ,Operational since 1957,1957,3,50,,,1090,107.16,63.2,400,63,400,Storage ,,137,23.78521,86.811921,23.7872,86.8184,,,"Matched Dams, Stations and Reservoirs",https://www.wikiwand.com/en/Maithon_Dam,https://www.mapsofindia.com/maps//maithon-dam.html,http://cea.nic.in/reports/monthly/transmission/2019/ats-06.pdf,http://cea.nic.in/reports/monthly/transmission/2019/monthly_trans_inter-05.pdf,http://globalenergyobservatory.org/geoid/4143,https://dhanbad.nic.in/tourist-place/maithon-dam/,,,,,"Transmission lines : Maithon RBTPP (2x525 MW):1. Maithon RB-Maithon(PG) =63ckm, whilist Maithon(RB)-Ranchi = 376cKM (@page 21)",
Panchet ,Matched with hydro station,16,India,IND,Panchet ,,"Irrigation, Hydropower",Jharkhand,Damodar Valley Corporation ,Asonsol,Dhanbad ,Damodar,,,Operational ,Operational since 1959,1959,2,47.85,,,1360,153.38,80,132,,,Pumped Storage,,237,23.678056,86.746944,23.68145,86.7473,,,"Matched Dams, Stations and Reservoirs",https://www.wikiwand.com/en/Panchet_Dam,http://globalenergyobservatory.org/geoid/4691,http://cea.nic.in/reports/others/god/opm/generation19_20.pdf,https://www.mapsofindia.com/maps//panchet-dam.html,,,,,,,There are two units in the hydropower plant. The first unit was commissined in 1959 and the last one in 1991. The main reason of non-operation is the absence of tail pool dam and vibration issue[Page 4.14].,
North Koel,Not hydro,97,India,IND,,,"Irrigation, Hydropower",Jharkhand,,Daltonnganj,,North Koel,,,,Construction stalled,,,67.86,,,1170,71.2,,,,,,,,,,,,,,"Non-Hydro, excluded",https://currentaffairs.gktoday.in/north-koel-reservoir-project-water-resources-ministry-ink-mou-bihar-jharkhand-01201851584.html,https://ejatlas.org/conflict/koel-karo-project-india,https://www.telegraphindia.com/states/jharkhand/koel-karo-project-on-revival-path/cid/370858,,,,,,,," The project never finished. According to the project report, two  were to be constructed — at Basia on the South Koel River and at Lohajimi on the North Karo River. The two  were to be connected by a 34.7km canal. To facilitate power generation, permission was given for the construction of four large power houses and two smaller ones, capable of generating 710MW daily. The project, covering Ranchi, Gumla and Singhbhum districts, was to utilise water from South Koel and North Karo rivers.",
Tenughat,Not hydro,61,India,IND,Tenughat ,,Thermal ,Jharkhand,,Hazaribagh,Bokaro ,Damodar,,,Operational ,Operational since 1978,,,64.87,,,1000,0.0648,,220/132,,,Storage ,,2000,23.725687,85.836077,,,,,"Non-Hydro, excluded",http://cea.nic.in/reports/others/god/opm/generation19_20.pdf,http://globalenergyobservatory.org/geoid/5691,http://www.tvnl.in/beta/abt_us.php,,,,,,,,"Tenughat DVC is a thermal plant, which is situated on the left bank of Tenughat reservoir. The total installed capacity of the Tenughat Thermal power station is 2x210 MW. ",
Tungabhadra/Hampi /TB Dam,Matched with hydro station,8,India,IND,Tungabhadra ,,"Irrigation, Hydropower",Karnataka,APGENCO,Hospet,Bellary ,Tungabhadra,,,Operational ,Operational since 1953,1957,8,49.38,,,3710,349.2,72,220/110/66,,,Storage ,,236,15.2615,76.3379,15.261666,76.338554,15.316102,76.497363,"Matched Dams, Stations and Reservoirs",https://apgenco.gov.in/getInfo.do?dt=2&oId=32&pId=6,http://cea.nic.in/reports/others/god/opm/generation19_20.pdf,http://globalenergyobservatory.org/geoid/5805,https://www.indianetzone.com/4/the_tungabhadra_project.htm,,,,,,,"The Tungabhadra Project has three main canals and two powerhouses each  4x9 MW units. The Andhra Pradesh power generation corporation limited (APGENCO) ownes 80% of the share and Karnataka owns 20%. The Tungabhadra project consists of three major canals, one on the left bank side, another on the right bank side. They are known as rhe Left Bank Canal, the Low level canal and the high level canal. The Power Canal on the Right Bank side sustains the power house at Hampi. Aside from all the canals, the Tungabhadra project possesses two powerhouses  a collective installed capacity of 72MW. The total Power generation of the TB Dam is 79 by 2019-2020 CEA report.",
Talakalale,"Part of cascade system, not directly linked to hydro station",116,India,IND,Talakalale Balancing ,,Hydropower,Karnataka,Karnataka Power Corporation Ltd.,Shimoga,,Sharavathy,,,,Operational since 1963,1964,,62.5,,,130,9.2,,,,,Storage,,483,14.19491,74.78197,,,,,"Excluded as part of cascade complex, not linked to power house",,,,,,,,,,,Part of Sharavathy,
Varahi (Chakra),"Part of cascade system, not directly linked to hydro station",158,India,IND,Savehaklu ,,Irrigation,Karnataka,Karnataka Power Corporation Ltd.,Shimoga,Shimoga ,Chakra,,,,Operational since 1985,1985,,84,,,222.6,11.5,,,,,,,,13.820129,74.954706,,,,,"Excluded as part of cascade complex, not linked to power house",https://www.karnataka.com/shimoga/chakra-dam/,http://www.indiaenvironmentportal.org.in/files/file/NRLD%202018.pdf,http://waterresources.kar.nic.in/Hulical%20forebay%20NPDP.pdf,https://in.news.yahoo.com/chakra-dam-savehaklu-reservoir-overflowing-204600147.html,,,,,,,"Part of Varahi PHS, but the main reservoir Mani Dam is not included in this database. The dam was built to act as a balancing reservvoir and to feed water into the Linganamakki reservoir. The type of dam is Rockfill dam. The purpose is balancing reservir and irrigation.",
Varahi (Savehakalu),"Part of cascade system, not directly linked to hydro station",155,India,IND,Savehaklu ,,Hydropower,Karnataka,Karnataka Power Corporation Ltd.,Shimoga,,Samhoklu,,,,Operational since 1981,1980,,53,,,124.97,9.4,,,,,Storage,,,13.782732,74.968977,,,,,"Excluded as part of cascade complex, not linked to power house",http://www.indiaenvironmentportal.org.in/files/file/NRLD%202018.pdf,http://waterresources.kar.nic.in/Hulical%20forebay%20NPDP.pdf,https://in.news.yahoo.com/chakra-dam-savehaklu-reservoir-overflowing-204600147.html,,,,,,,,"Part of Varahi PHS, but the main reservoir Mani Dam is not included in this database.",
